city,district,neighborhood,room,living_room,area,age,floor,price
izmir,bornova,kazimdirik,2,1,80,0,1,33000
izmir,menderes,kasimpasa,2,1,85,0,2,30000
izmir,buca,kurucesme,1,1,55,4,1,17000
izmir,karsiyaka,bahariye,3,1,127,34,2,20000
izmir,karsiyaka,semikler,2,1,95,7,2,23000
izmir,karsiyaka,bostanli,2,1,110,4,4,47500
izmir,gaziemir,dokuz_eylul,2,1,87,30,5,15000
izmir,karsiyaka,dedebasi,1,1,60,5,5,25000
izmir,cigli,balatcik,2,1,100,5,1,25000
izmir,menemen,cumhuriyet,3,1,140,11,3,20000
izmir,dikili,salimbey,2,1,100,10,2,18000
izmir,bayrakli,r_sevket_ince,3,1,135,1,3,28000
izmir,buca,ataturk,1,1,55,4,1,15000
izmir,karsiyaka,semikler,1,1,55,10,1,20000
izmir,karsiyaka,yali,3,1,140,16,3,30000
izmir,foca,ataturk,2,1,95,4,0,38000
izmir,urla,kuscular,2,1,180,1,1,50000
izmir,buca,kozagac,1,1,60,0,2,15000
izmir,karsiyaka,semikler,3,1,160,14,5,27000
izmir,cigli,ahmet_efendi,1,1,55,6,1,14000
izmir,karsiyaka,donanmaci,3,1,145,42,3,37000
izmir,balcova,egitim,2,1,74,5,1,30000
izmir,aliaga,cakmakli,3,1,120,20,1,25000
izmir,bornova,gurpinar,2,1,90,5,5,15000
izmir,cesme,alacati,3,1,130,9,2,15000
izmir,cesme,musalla,2,1,70,0,1,27500
izmir,karabaglar,yunus_emre,3,1,130,13,2,18000
izmir,buca,kurucesme,1,1,70,5,1,13000
izmir,bornova,mevlana,2,1,75,5,2,17000
izmir,karsiyaka,bahcelievler,3,1,125,30,4,22000
izmir,karsiyaka,demirkopru,1,1,60,4,1,21500
izmir,menemen,30_agustos,2,1,98,4,4,24000
izmir,bornova,inonu,3,1,120,0,2,23000
izmir,balcova,onur,2,1,100,4,2,30000
izmir,torbali,pancar,3,1,160,10,3,10000
izmir,buca,adatepe,1,1,55,4,0,12000
izmir,menemen,inonu,1,1,55,1,3,13000
izmir,karsiyaka,latife_hanim,2,1,140,54,5,28000
izmir,bornova,inonu,3,1,110,20,3,18000
izmir,karabaglar,vatan,2,1,90,30,2,18000
izmir,konak,alsancak,2,1,75,25,4,25000
izmir,karabaglar,bahcelievler,2,1,100,0,2,20000
izmir,konak,atilla,1,1,40,4,0,15000
izmir,karabaglar,esenyali,2,1,90,30,1,18000
izmir,buca,adatepe,1,1,60,7,3,18000
